    64 Angelina           L.H. Wasserman   7.67  0.48 0.75       E       0   0   0   0   0   0 57861 2634 20191113  83.524463 178.896463 309.112129  1.309676 0.12547144   2.68152602 20190923 1.2E-02 -7.4E-06 20191005 2.6E-02 20200624 3.3E-02 20230110 3.3E-02 20230110
    65 Cybele             L.H. Wasserman   6.62  0.01 0.67 237.3 C       0   0   0   0   0   0 57813 3137 20191113 291.980200 102.753266 155.616826  3.563889 0.11199183   3.42514506 20190923 1.2E-02  2.2E-05 20191005 2.7E-02 20200423 3.1E-02 20270622 3.1E-02 20270622
    66 Maja               L.H. Wasserman   9.36  0.15 0.71  72.8 C       0   0   0   0   0   0 57874 2778 20191113  64.905289  43.950183   7.496687  3.045690 0.17296407   2.64585378 20191003 1.4E-02  2.8E-05 20191005 2.6E-02 20200307 3.8E-02 20271227 3.8E-02 20271227
    67 Asia               L.H. Wasserman   8.28  0.15 0.86  58.1 S       0   0   0   0   0   9 56814 2675 20191113 330.937999 106.917025 202.429812  6.028725 0.18543361   2.42214130 20190927 1.3E-02 -9.9E-06 20191005 2.9E-02 20201009 3.9E-02 20270619 3.9E-02 20270619
    68 Leto               L.H. Wasserman   6.78  0.05 0.84 122.6 S       0   0   0   0   0   0 56899 2389 20191113 304.141852 304.371456  44.110940  7.963008 0.18570847   2.78397489 20190927 1.5E-02 -2.9E-05 20191005 3.9E-02 20200928 3.9E-02 20200928 4.3E-02 20290813
    69 Hesperia           L.H. Wasserman   7.05  0.19 0.70 138.1 M       0   0   0   0   0   0 57852 3060 20191113 339.495892 289.140303 184.991334  8.590685 0.17032939   2.97706420 20190927 1.9E-02  1.0E-04 20191005 3.4E-02 20200121 3.5E-02 20250103 3.5E-02 20250103
    70 Panopaea           L.H. Wasserman   8.11  0.14 0.74 122.2 C       0   0   0   0   0   0 55877 2260 20191113 116.971666 255.440732  47.695291 11.593840 0.18046294   2.61630948 20190927 1.8E-02  1.0E-04 20191005 2.5E-02 20191215 4.2E-02 20220702 4.2E-02 20220702
    71 Niobe              L.H. Wasserman   7.30  0.40 0.82  83.4 S       0   0   0   0   0   0 56716 2345 20191113 307.070720 267.029171 316.003510 23.264686 0.17325982   2.75603334 20190923 1.3E-02  4.6E-05 20191005 3.7E-02 20200404 4.5E-02 20250617 4.5E-02 20250617
    72 Feronia            L.H. Wasserman   8.94  0.15 0.78  86.1         0   0   0   0   0   0 56337 2683 20191113  64.607179 102.833303 207.963400  5.415889 0.12047101   2.26618865 20190927 2.9E-02  5.0E-05 20191005 2.9E-02 20191012 4.2E-02 20220719 4.2E-02 20220719
    73 Klytia             L.H. Wasserman   9.0   0.15 0.82  44.4         0   0   0   0   0   0 56601 2692 20191113 201.382436  53.008851   6.971519  2.368700 0.04224326   2.66651003 20190927 1.2E-02 -1.9E-05 20191005 2.8E-02 20200812 3.0E-02 20251026 3.2E-02 20290915
    74 Galatea            L.H. Wasserman   8.66  0.15 0.69 118.7         0   0   0   0   0   0 56848 2949 20191113 317.220180 174.483077 197.149868  4.070344 0.23601401   2.78109051 20191003 1.7E-02 -6.7E-05 20191005 3.8E-02 20201126 3.8E-02 20240807 5.2E-02 20291011
    75 Eurydike           L.H. Wasserman   8.96  0.23 0.71  55.7 M       0   0   0   0   0   0 56799 3121 20191113   6.939741 339.315164 359.341705  4.991736 0.30346896   2.67367801 20190923 2.1E-02 -1.4E-04 20191005 2.2E-02 20201228 4.6E-02 20280902 4.6E-02 20280902
    76 Freia              L.H. Wasserman   7.90  0.15 0.70 183.7 CP      0   0   0   0   0   9 56762 2982 20191113 315.461918 252.320331 204.304529  2.121547 0.16590795   3.41359930 20190927 2.3E-02  1.5E-04 20191005 3.2E-02 20191210 3.2E-02 20191210 3.1E-02 20191210
    77 Frigga             L.H. Wasserman   8.52  0.16 0.75  69.2 M?      0   0   0   0   0   9 51197 2676 20191113 328.632572  61.805634   1.149317  2.422821 0.13242337   2.66844735 20190927 2.6E-02  1.6E-05 20191005 2.6E-02 20191008 3.3E-02 20281117 3.3E-02 20281117
    78 Diana              L.H. Wasserman   8.09  0.08 0.71 120.6 C       0   0   0   0   0   0 57139 2370 20191113   4.763326 152.758383 333.396308  8.701454 0.20727965   2.61924911 20190927 1.6E-02  2.8E-05 20191005 3.5E-02 20200326 4.3E-02 20280102 4.3E-02 20280102
    79 Eurynome           L.H. Wasserman   7.96  0.25 0.88  66.5 S       0   0   0   0   0   0 56966 2524 20191113 280.017654 201.420785 206.542274  4.612140 0.18998343   2.44529801 20190927 1.7E-02 -8.7E-05 20191005 3.4E-02 20201219 3.4E-02 20201219 3.4E-02 20201219
